,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Sub-task B,Y
2249,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.012820529751479626,0.34615352749824524,0.012820529751479626,0.34615373611450195,0.012820529751479626,16,3,1,NAG
3522,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.36545851826667786,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.09440334886312483,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.459717184305191,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,0.0034965632949024443,287,37,1,NAG
893,0.001748350216075778,0.001748350216075778,0.7216731309890747,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.07871536165475845,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.11394648998975755,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.047201301902532584,0.001748350216075778,0.001748350216075778,0.001748350216075778,0.001748350216075778,295,40,0,NAG
695,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.339751809835434,0.17306366562843326,0.17308101058006287,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.006410489324480295,0.17307274043560028,0.006410489324480295,0.006410489324480295,64,8,0,OAG
1827,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.1483411341905594,0.005494646728038789,0.14835356175899506,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.14834868907928467,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.005494646728038789,0.14835484325885773,0.2912142276763916,69,9,1,OAG
2852,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,27,4,1,CAG
4252,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.3461514413356781,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.3461547791957855,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,0.012820575386285782,9,2,1,NAG
1678,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,0.038461539894342416,3,1,1,NAG
2076,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.29121533036231995,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.14834579825401306,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.005494659300893545,0.14834700524806976,0.005494659300893545,0.005494659300893545,0.14835304021835327,0.14835099875926971,0.005494659300893545,74,11,1,NAG
4931,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.346152663230896,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.012820546515285969,0.34615421295166016,0.012820546515285969,11,2,1,NAG
